Airport
MURCIA/AEROPUERTO DE LA REGION DE MURCIA AIRPORT
LA MORGAL (ASTURIAS) airport
MUCHAMIEL (ALICANTE) airport
OCANA (TOLEDO) airport
PALMA DE MALLORCA airport
CASAS DE LOS PINOS (CUENCA) airport
PAMPLONA airport
REUS airport
SALAMANCA airport
MALLORCA/SON BONET airport
PALMA/SON SAN JUAN airport
SAN SEBASTIAN airport
SANTIAGO airport
MADRID/TORREJON airport
VALENCIA airport
VALLADOLID airport
VILLARALBO (ZAMORA) airport
CUATRO VIENTOS airport
VITORIA airport
VIGO airport
SEVE BALLESTEROS-SANTANDER airport
ZARAGOZA airport
SEVILLA airport
Other airport - SPAIN
DZAOUDZI airport
LA REUNION-ROLAND GARROS airport
SAINT PIERRE PIERREFONDS airport
CALAIS-DUNKERQUE airport
LE TOUQUET-COTE D'OPALE airport
VALENCIENNES-DENAIN airport
AGEN-LA GARENNE airport
BORDEAUX-MERIGNAC airport
BERGERAC-ROUMANIERE airport
LA ROCHELLE-ILE DE RE airport
POITIERS-BIARD airport
MONTLUCON-GUERET airport
LIMOGES-BELLEGARDE airport
NIORT-MARAIS POITEVIN airport
TOULOUSE/BLAGNAC airport
PAU-PYRENEES airport
TARBES LOURDES PYRENEES airport
ANGOULEME-BRIE-CHAMPNIERS airport
BRIVE/LA ROCHE airport
PERIGEUX-BASSILLAC airport
BIARRITZ-PAYS BASQUE airport
CAHORS-LALBENQUE airport
ARCACHON-LA TESTE DE BUCH airport
ALBI-LE SEQUESTRE airport
CASTRES MAZAMET airport
RODEZ-AVEYRON airport
ROCHEFORT-CHARENTE-MARITIME airport
OUESSANT airport
ILE D YEU airport
COLMAR HOUSSEN airport
DOLE-TAVAUX airport
MOULINS/AVERMES airport
AUBENAS-ARDECHE MERIDIONALE airport
LE PUY-LOUDES airport
METZ NANCY-LORRAINE airport
ANGERS MARCE airport
BASTIA-PORETTA airport
CALVI-SAINTE-CATHERINE airport
FIGARI-SUD-CORSE airport
AJACCIO-NAPOLEON-BONAPARTE airport
AUXERRE-BRANCHES airport
CHAMBERY-AIX-LES-BAINS airport
CLERMONT-FERRAND-AUVERGNE airport
BOURGES airport
GRENOBLE-LE VERSOUD airport
CHALON-CHAMPFORGEUIL airport
COURCHEVEL airport
LYON SAINT-EXUPERY airport
MACON CHARNAY airport
SAINT-YAN airport
ROANNE airport
ANNECY-MEYTHET airport
GRENOBLE-ISERE airport
VALENCE-CHABEUIL airport
VICHY-CHARMEIL airport
AURILLAC airport
CHATEAUROUX-DEOLS airport
LYON-BRON airport
CANNES-MANDELIEU airport
SAINT-ETIENNE-LOIRE airport
CARCASSONNE-SALVAZA airport
MARSEILLE-PROVENCE airport
NICE-COTE D AZUR airport
PERPIGNAN RIVESALTES airport
LE CASTELLET airport
MONTPELLIER MEDITERRANEE airport
BEZIERS-VIAS airport
AVIGNON-CAUMONT airport
GAP-TALLARD airport
BEAUVAIS-TILLE airport
SAUMUR SAINT FLORENT airport
LE HAVRE-OCTEVILLE airport
CHALONS-VATRY airport
ROUEN-VALLEE DE SEINE airport
TOURS VAL DE LOIRE airport
CHOLET-LE PONTREAU airport
LAVAL-ENTRAMMES airport
ORLEANS SAINT DENIS DE L HOTEL airport
PARIS-CHARLES DE GAULLE airport
PARIS-ORLY airport
REIMS-PRUNAY airport
